Ayuntamiento;Cuentas 2009;Cuentas 2010;Cuentas 2011;Poblacion 2009;Poblacion 2010;Poblacion 2011;Viviendas 2001
Válor ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;702;710;693;880
Vegas del Genil ;Cuenta rendida ;Cuenta no rendida ;Cuenta no rendida;9102;9472;9701;3691
Vélez de Benaudalla ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;2928;2947;2943;2580
Ventas de Huelma ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;704;704;704;653
Villamena ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;1031;1052;1028;969
Villanueva de las Torres ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;708;699;700;849
Villanueva Mesía ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;2158;2137;2108;2005
Víznar ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;845;907;937;780
Zafarraya ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;2129;2167;2113;2258
Zagra ;Cuenta rendida ;Cuenta rendida ;Cuenta no rendida;961;959;937;1140
Zubia (La) ;Cuenta no rendida ;Cuenta no rendida ;Cuenta no rendida;18240;18412;18375;14156
Zújar ;Cuenta rendida ;Cuenta rendida ;Cuenta rendida;3020;3018;2989;2733
